sent.seconds;sent.microseconds;received.seconds;received.microseconds;sampleTimeStamp.seconds;sampleTimeStamp.microseconds;position;
1585056051;848768;1651507896;396013;1585056051;848768;0.1134068;
1585056051;949402;1651507896;614823;1585056051;949402;0.1134068;
1585056052;49962;1651507896;851709;1585056052;49962;0.123722;
1585056052;151085;1651507897;119584;1585056052;151085;0.1134068;
1585056052;251817;1651507897;305753;1585056052;251817;0.1134068;
1585056052;352356;1651507897;520096;1585056052;352356;0.123722;
1585056052;452913;1651507897;750280;1585056052;452913;0.1134068;
1585056052;553426;1651507897;970471;1585056052;553426;0.1134068;
1585056052;653946;1651507898;166029;1585056052;653946;0.123722;
1585056052;754437;1651507898;373622;1585056052;754437;0.123722;
1585056052;854955;1651507898;609350;1585056052;854955;0.123722;
1585056052;955456;1651507898;830649;1585056052;955456;0.123722;
1585056053;55973;1651507899;27104;1585056053;55973;0.123722;
1585056053;156543;1651507899;274543;1585056053;156543;0.123722;
1585056053;257083;1651507899;496339;1585056053;257083;0.1134068;
1585056053;357586;1651507899;651330;1585056053;357586;0.123722;
1585056053;458296;1651507899;906620;1585056053;458296;0.1134068;
1585056053;558733;1651507900;147664;1585056053;558733;0.123722;
1585056053;659303;1651507900;355856;1585056053;659303;0.1134068;
1585056053;759772;1651507900;597008;1585056053;759772;0.123722;
1585056053;860250;1651507900;910799;1585056053;860250;0.1134068;
1585056053;960774;1651507901;154109;1585056053;960774;0.123722;
1585056054;61205;1651507901;367678;1585056054;61205;0.123722;
1585056054;161735;1651507901;642095;1585056054;161735;0.1134068;
1585056054;262202;1651507901;827973;1585056054;262202;0.1134068;
1585056054;362662;1651507902;43765;1585056054;362662;0.123722;
1585056054;463300;1651507902;274345;1585056054;463300;0.1134068;
1585056054;563954;1651507902;558206;1585056054;563954;0.123722;
1585056054;664479;1651507902;795286;1585056054;664479;0.1134068;
1585056054;765052;1651507903;25455;1585056054;765052;0.1134068;
1585056054;865554;1651507903;225602;1585056054;865554;0.1134068;
1585056054;966098;1651507903;445820;1585056054;966098;0.1134068;
1585056055;66636;1651507903;657718;1585056055;66636;0.1134068;
1585056055;167153;1651507903;912921;1585056055;167153;0.1134068;
1585056055;267670;1651507904;137433;1585056055;267670;0.1134068;
1585056055;368346;1651507904;368196;1585056055;368346;0.1134068;
1585056055;469116;1651507904;596535;1585056055;469116;0.1134068;
1585056055;569645;1651507904;868848;1585056055;569645;0.1134068;
1585056055;670138;1651507905;175925;1585056055;670138;0.123722;
1585056055;770653;1651507905;385175;1585056055;770653;0.1134068;
1585056055;871367;1651507905;618334;1585056055;871367;0.1134068;
1585056055;972259;1651507905;806809;1585056055;972259;0.1134068;
1585056056;72829;1651507906;40073;1585056056;72829;0.1134068;
1585056056;173315;1651507906;246378;1585056056;173315;0.1134068;
1585056056;273854;1651507906;490915;1585056056;273854;0.1134068;
1585056056;374331;1651507907;31227;1585056056;374331;0.1134068;
1585056056;475302;1651507907;355044;1585056056;475302;0.1134068;
1585056056;575895;1651507907;829832;1585056056;575895;0.1134068;
1585056056;676445;1651507908;520991;1585056056;676445;0.1134068;
1585056056;776932;1651507908;784237;1585056056;776932;0.1134068;
1585056056;877540;1651507909;51268;1585056056;877540;0.1134068;
1585056056;978125;1651507909;344919;1585056056;978125;0.1134068;
1585056057;78646;1651507909;599222;1585056057;78646;0.1134068;
1585056057;179141;1651507909;839512;1585056057;179141;0.123722;
1585056057;279639;1651507910;140498;1585056057;279639;0.123722;
1585056057;380156;1651507910;451038;1585056057;380156;0.123722;
1585056057;480722;1651507910;686966;1585056057;480722;0.123722;
1585056057;581270;1651507910;917193;1585056057;581270;0.123722;
1585056057;681738;1651507911;139494;1585056057;681738;0.1134068;
1585056057;782441;1651507911;344926;1585056057;782441;0.1134068;
1585056057;882910;1651507911;537082;1585056057;882910;0.1134068;
1585056057;983394;1651507911;779122;1585056057;983394;0.1134068;
1585056058;83900;1651507912;19595;1585056058;83900;0.1134068;
1585056058;184382;1651507912;231288;1585056058;184382;0.1134068;
1585056058;284901;1651507912;421255;1585056058;284901;0.1134068;
1585056058;385512;1651507912;629040;1585056058;385512;0.1134068;
1585056058;486088;1651507912;874225;1585056058;486088;0.1134068;
1585056058;586602;1651507913;89441;1585056058;586602;0.103122;
1585056058;687112;1651507913;273950;1585056058;687112;0.103122;
1585056058;787650;1651507913;481136;1585056058;787650;0.103122;
1585056058;888345;1651507913;648517;1585056058;888345;0.103122;
1585056058;989149;1651507913;866602;1585056058;989149;0.07217628;
1585056059;89789;1651507914;72170;1585056059;89789;0.07217628;
1585056059;190435;1651507914;324146;1585056059;190435;0.07217628;
1585056059;291234;1651507914;568645;1585056059;291234;0.07217628;
1585056059;391837;1651507914;786060;1585056059;391837;0.07217628;
1585056059;492496;1651507915;49042;1585056059;492496;0.08249153;
1585056059;593065;1651507915;270533;1585056059;593065;0.08249153;
1585056059;693660;1651507915;507782;1585056059;693660;0.09280679;
1585056059;794320;1651507915;739651;1585056059;794320;0.09280679;
1585056059;894857;1651507915;973414;1585056059;894857;0.09280679;
1585056059;995364;1651507916;148470;1585056059;995364;0.09280679;
1585056060;95895;1651507916;380152;1585056060;95895;0.103122;
1585056060;196505;1651507916;580281;1585056060;196505;0.103122;
1585056060;297232;1651507916;810390;1585056060;297232;0.103122;
1585056060;397815;1651507917;40754;1585056060;397815;0.103122;
1585056060;498611;1651507917;302342;1585056060;498611;0.103122;
1585056060;599228;1651507917;613289;1585056060;599228;0.103122;
1585056060;699686;1651507917;823439;1585056060;699686;0.103122;
1585056060;800233;1651507918;85109;1585056060;800233;0.103122;
1585056060;900852;1651507918;308075;1585056060;900852;0.103122;
1585056061;1396;1651507918;569745;1585056061;1396;0.103122;
1585056061;101939;1651507918;836057;1585056061;101939;0.103122;
1585056061;202795;1651507919;43187;1585056061;202795;0.103122;
1585056061;303302;1651507919;249777;1585056061;303302;0.103122;
1585056061;403811;1651507919;535365;1585056061;403811;0.103122;
1585056061;504350;1651507919;813133;1585056061;504350;0.103122;
1585056061;604889;1651507920;43161;1585056061;604889;0.103122;
1585056061;705420;1651507920;260455;1585056061;705420;0.103122;
1585056061;805892;1651507920;480151;1585056061;805892;0.103122;
1585056061;906496;1651507920;695070;1585056061;906496;0.103122;
1585056062;7262;1651507920;916680;1585056062;7262;0.103122;
1585056062;107821;1651507921;133836;1585056062;107821;0.103122;
1585056062;208561;1651507921;320025;1585056062;208561;0.103122;
1585056062;309071;1651507921;521448;1585056062;309071;0.103122;
1585056062;409611;1651507921;757375;1585056062;409611;0.103122;
1585056062;510167;1651507921;979985;1585056062;510167;0.103122;
1585056062;610895;1651507922;200165;1585056062;610895;0.103122;
1585056062;711705;1651507922;482531;1585056062;711705;0.103122;
1585056062;812326;1651507922;693828;1585056062;812326;0.1134068;
1585056062;912952;1651507922;866744;1585056062;912952;0.1134068;
1585056063;13471;1651507923;91648;1585056063;13471;0.1134068;
1585056063;114113;1651507923;352813;1585056063;114113;0.1134068;
1585056063;214665;1651507923;591869;1585056063;214665;0.1134068;
1585056063;315261;1651507923;796757;1585056063;315261;0.1134068;
1585056063;415792;1651507924;42467;1585056063;415792;0.1134068;
1585056063;516292;1651507924;261385;1585056063;516292;0.1134068;
1585056063;616942;1651507924;484594;1585056063;616942;0.1134068;
1585056063;717714;1651507924;695758;1585056063;717714;0.1134068;
1585056063;818246;1651507924;919313;1585056063;818246;0.1134068;
1585056063;918506;1651507925;140534;1585056063;918506;0.1134068;
1585056064;19447;1651507925;365206;1585056064;19447;0.1134068;
1585056064;120265;1651507925;627377;1585056064;120265;0.1134068;
1585056064;221038;1651507925;884596;1585056064;221038;0.1134068;
1585056064;322559;1651507926;129158;1585056064;322559;0.1134068;
1585056064;423522;1651507926;337904;1585056064;423522;0.1134068;
1585056064;524208;1651507926;607389;1585056064;524208;0.1134068;
1585056064;624314;1651507926;858610;1585056064;624314;0.1134068;
1585056064;724781;1651507927;88818;1585056064;724781;0.1134068;
1585056064;825372;1651507927;315087;1585056064;825372;0.1134068;
1585056064;926421;1651507927;569200;1585056064;926421;0.1134068;
1585056065;27050;1651507927;888789;1585056065;27050;0.1134068;
1585056065;127487;1651507928;200566;1585056065;127487;0.1134068;
1585056065;228562;1651507928;476342;1585056065;228562;0.1134068;
1585056065;329413;1651507928;704693;1585056065;329413;0.1134068;
1585056065;430271;1651507928;942729;1585056065;430271;0.1134068;
1585056065;531552;1651507929;210981;1585056065;531552;0.1134068;
1585056065;632262;1651507929;423594;1585056065;632262;0.1134068;
