sent.seconds;sent.microseconds;received.seconds;received.microseconds;sampleTimeStamp.seconds;sampleTimeStamp.microseconds;angle;
1651507898;552260;1651507898;552272;1651507898;552260;-0.4451986;
1651507898;797946;1651507898;797959;1651507898;797946;-0.3271911;
1651507899;3510;1651507899;3529;1651507899;3510;-0.1582652;
1651507899;234348;1651507899;234361;1651507899;234348;-0.304933;
1651507899;467785;1651507899;467798;1651507899;467785;-0.1852224;
1651507899;859526;1651507899;859541;1651507899;859526;-0.3877657;
1651507900;104754;1651507900;104767;1651507900;104754;-0.3302997;
1651507900;319398;1651507900;319416;1651507900;319398;-0.1470747;
1651507900;543018;1651507900;543034;1651507900;543018;-0.05781701;
1651507900;847377;1651507900;847391;1651507900;847377;-0.07958566;
1651507901;105728;1651507901;105742;1651507901;105728;0.1196776;
1651507901;343765;1651507901;343778;1651507901;343765;-0.1440162;
1651507901;571120;1651507901;571134;1651507901;571120;0.536094;
1651507902;1474;1651507902;1487;1651507902;1474;0.4422597;
1651507902;230558;1651507902;230570;1651507902;230558;0.8706179;
1651507902;461080;1651507902;461094;1651507902;461080;0.8045973;
1651507902;726616;1651507902;726629;1651507902;726616;0.9938979;
1651507902;958622;1651507902;958635;1651507902;958622;0.9012983;
1651507903;174256;1651507903;174272;1651507903;174256;0.9025025;
1651507903;381038;1651507903;381052;1651507903;381038;0.9004936;
1651507903;610025;1651507903;610038;1651507903;610025;0.8823675;
1651507903;825233;1651507903;825247;1651507903;825233;0.6742656;
1651507904;79056;1651507904;79069;1651507904;79056;1.00409;
1651507904;546836;1651507904;546852;1651507904;546836;0.8915321;
1651507904;754365;1651507904;754379;1651507904;754365;0.8015779;
1651507905;84097;1651507905;84112;1651507905;84097;1.043594;
1651507905;323205;1651507905;323219;1651507905;323205;0.9200054;
1651507905;548326;1651507905;548339;1651507905;548326;0.8110751;
1651507905;964892;1651507905;964907;1651507905;964892;0.8318883;
1651507906;183624;1651507906;183637;1651507906;183624;0.3314265;
1651507906;497351;1651507906;497364;1651507906;497351;-0.4988423;
1651507907;33923;1651507907;33935;1651507907;33923;0.0007963268;
1651507907;848635;1651507907;848650;1651507907;848635;-0.1378909;
1651507908;467101;1651507908;467119;1651507908;467101;-0.07406352;
1651507908;679875;1651507908;679888;1651507908;679875;0.1645934;
1651507908;940561;1651507908;940574;1651507908;940561;0.4399866;
1651507909;265603;1651507909;265618;1651507909;265603;-0.1358468;
1651507909;493394;1651507909;493408;1651507909;493394;-0.5319287;
1651507910;23857;1651507910;23876;1651507910;23857;-0.4443505;
1651507910;325966;1651507910;325981;1651507910;325966;-0.4255172;
1651507910;598053;1651507910;598066;1651507910;598053;0.0007963268;
1651507910;821099;1651507910;821112;1651507910;821099;0.0007963268;
1651507911;45558;1651507911;45572;1651507911;45558;0.0007963268;
1651507911;261617;1651507911;261632;1651507911;261617;0.0007963268;
1651507911;698391;1651507911;698406;1651507911;698391;-0.01378597;
1651507911;924082;1651507911;924097;1651507911;924082;-0.05954699;
1651507912;129281;1651507912;129298;1651507912;129281;-0.08027559;
1651507912;344273;1651507912;344287;1651507912;344273;-0.1174002;
1651507912;547862;1651507912;547875;1651507912;547862;0.1066492;
1651507912;751024;1651507912;751040;1651507912;751024;0.1261768;
1651507913;6975;1651507913;6988;1651507913;6975;0.199527;
1651507913;397549;1651507913;397561;1651507913;397549;0.1861443;
1651507913;613883;1651507913;613898;1651507913;613883;0.7500526;
1651507913;771093;1651507913;771108;1651507913;771093;0.8199009;
1651507913;980157;1651507913;980176;1651507913;980157;0.8045973;
1651507914;184530;1651507914;184542;1651507914;184530;0.7772614;
1651507914;445706;1651507914;445721;1651507914;445706;0.6513707;
1651507914;933246;1651507914;933261;1651507914;933246;0.8585318;
1651507915;170718;1651507915;170731;1651507915;170718;0.9120051;
1651507915;385724;1651507915;385741;1651507915;385724;0.4869614;
1651507915;624422;1651507915;624438;1651507915;624422;0.861198;
1651507915;854270;1651507915;854284;1651507915;854270;0.9870971;
1651507916;89409;1651507916;89425;1651507916;89409;0.9634508;
1651507916;455162;1651507916;455183;1651507916;455162;0.0007963268;
1651507916;680505;1651507916;680521;1651507916;680505;0.8580859;
1651507916;905106;1651507916;905121;1651507916;905106;0.6717147;
1651507917;156900;1651507917;156915;1651507917;156900;0.8719158;
1651507917;466880;1651507917;466895;1651507917;466880;0.839864;
1651507917;692154;1651507917;692175;1651507917;692154;0.868228;
1651507918;198372;1651507918;198385;1651507918;198372;0.7601939;
1651507918;413340;1651507918;413351;1651507918;413340;0.09840185;
1651507918;707049;1651507918;707063;1651507918;707049;0.7381964;
1651507918;916270;1651507918;916283;1651507918;916270;0.9391748;
1651507919;141589;1651507919;141603;1651507919;141589;0.7670885;
1651507919;337116;1651507919;337133;1651507919;337116;0.8927659;
1651507919;907139;1651507919;907154;1651507919;907139;0.7908601;
1651507920;136202;1651507920;136215;1651507920;136202;0.9998488;
1651507920;353083;1651507920;353098;1651507920;353083;0.9541474;
1651507920;577518;1651507920;577531;1651507920;577518;0.896445;
1651507920;784471;1651507920;784485;1651507920;784471;0.5593957;
1651507920;985329;1651507920;985344;1651507920;985329;0.944235;
1651507921;380750;1651507921;380764;1651507921;380750;0.8984745;
1651507921;627805;1651507921;627818;1651507921;627805;0.6542227;
1651507921;850270;1651507921;850284;1651507921;850270;0.5658612;
1651507922;58856;1651507922;58871;1651507922;58856;0.3337544;
1651507922;283730;1651507922;283741;1651507922;283730;0.2506709;
1651507922;552849;1651507922;552862;1651507922;552849;-0.0148274;
1651507922;953368;1651507922;953382;1651507922;953368;-0.6480168;
1651507923;177325;1651507923;177343;1651507923;177325;-0.7908129;
1651507923;433277;1651507923;433288;1651507923;433277;-0.8104712;
1651507923;653911;1651507923;653925;1651507923;653911;-0.8221781;
1651507923;857472;1651507923;857484;1651507923;857472;-0.8168487;
1651507924;115602;1651507924;115616;1651507924;115602;-0.9088446;
1651507924;334016;1651507924;334027;1651507924;334016;-0.9760148;
1651507924;760921;1651507924;760935;1651507924;760921;-0.9702563;
1651507924;980454;1651507924;980468;1651507924;980454;-0.827923;
1651507925;194138;1651507925;194152;1651507925;194138;-0.8245806;
1651507925;426713;1651507925;426725;1651507925;426713;-0.8849661;
1651507925;678933;1651507925;678947;1651507925;678933;-0.6237753;
1651507925;951957;1651507925;951968;1651507925;951957;-0.6127206;
1651507926;402756;1651507926;402770;1651507926;402756;-0.5081576;
1651507926;665839;1651507926;665851;1651507926;665839;-0.3001894;
1651507926;909909;1651507926;909923;1651507926;909909;-0.3895487;
1651507927;144313;1651507927;144325;1651507927;144313;-0.2323835;
1651507927;359854;1651507927;359866;1651507927;359854;-0.4272429;
1651507927;931457;1651507927;931469;1651507927;931457;-0.1885737;
1651507928;249548;1651507928;249560;1651507928;249548;-0.02211633;
1651507928;519147;1651507928;519160;1651507928;519147;-0.2294233;
1651507928;740544;1651507928;740561;1651507928;740544;0.2438132;
1651507928;990972;1651507928;990987;1651507928;990972;0.5675929;
1651507929;210779;1651507929;210794;1651507929;210779;0.7028664;
1651507929;429462;1651507929;429474;1651507929;429462;0.7213935;
1651507929;639244;1651507929;639257;1651507929;639244;0.8796908;
1651507930;35839;1651507930;35852;1651507930;35839;0.7254956;
1651507930;251466;1651507930;251480;1651507930;251466;0.8418746;
1651507930;474624;1651507930;474637;1651507930;474624;1.050904;
1651507930;690663;1651507930;690677;1651507930;690663;1.045176;
1651507930;919115;1651507930;919129;1651507930;919115;1.016774;
1651507931;337710;1651507931;337722;1651507931;337710;1.091151;
1651507931;526508;1651507931;526522;1651507931;526508;1.055507;
1651507931;714352;1651507931;714371;1651507931;714352;1.077919;
1651507931;926250;1651507931;926265;1651507931;926250;0.9940014;
1651507932;383375;1651507932;383388;1651507932;383375;0.9855076;
1651507932;565769;1651507932;565782;1651507932;565769;0.7708599;
1651507932;776580;1651507932;776595;1651507932;776580;0.7944587;
1651507932;987549;1651507932;987564;1651507932;987549;0.6988043;
1651507933;191344;1651507933;191359;1651507933;191344;0.7568963;
1651507933;400827;1651507933;400841;1651507933;400827;0.699619;
1651507933;908735;1651507933;908755;1651507933;908735;0.8738552;
1651507934;193372;1651507934;193386;1651507934;193372;0.5142402;
1651507934;422734;1651507934;422748;1651507934;422734;0.4560759;
1651507934;639878;1651507934;639891;1651507934;639878;0.5790001;
1651507934;892278;1651507934;892291;1651507934;892278;0.6416254;
1651507935;136300;1651507935;136312;1651507935;136300;0.6400619;
1651507935;329270;1651507935;329282;1651507935;329270;0.7801689;
1651507935;744106;1651507935;744119;1651507935;744106;0.8499791;
1651507935;961663;1651507935;961677;1651507935;961663;0.8866977;
1651507936;162010;1651507936;162022;1651507936;162010;0.7717538;
1651507936;374122;1651507936;374139;1651507936;374122;0.8996872;
1651507936;575409;1651507936;575424;1651507936;575409;0.8203864;
1651507936;819669;1651507936;819682;1651507936;819669;0.9874141;
1651507937;236650;1651507937;236664;1651507937;236650;0.9295886;
1651507937;478117;1651507937;478129;1651507937;478117;0.6693671;
1651507937;703116;1651507937;703129;1651507937;703116;0.6914222;
1651507937;983887;1651507937;983902;1651507937;983887;0.4815175;
1651507938;212557;1651507938;212571;1651507938;212557;0.4357114;
1651507938;492539;1651507938;492554;1651507938;492539;0.2211191;
1651507938;919276;1651507938;919288;1651507938;919276;-0.1795155;
1651507939;137303;1651507939;137315;1651507939;137303;0.01954413;
1651507939;342951;1651507939;342964;1651507939;342951;-0.2036005;
1651507939;577251;1651507939;577264;1651507939;577251;-0.2666012;
1651507939;787900;1651507939;787912;1651507939;787900;-0.3256344;
1651507940;7741;1651507940;7754;1651507940;7741;-0.3643517;
1651507940;223367;1651507940;223382;1651507940;223367;-0.3377333;
1651507940;572763;1651507940;572780;1651507940;572763;0.05733323;
1651507940;784365;1651507940;784379;1651507940;784365;-0.2820375;
1651507941;19967;1651507941;19980;1651507941;19967;-0.2906605;
1651507941;268604;1651507941;268619;1651507941;268604;-0.3302997;
1651507941;529502;1651507941;529517;1651507941;529502;-0.2304105;
1651507941;718556;1651507941;718574;1651507941;718556;-0.255912;
1651507942;61695;1651507942;61709;1651507942;61695;-0.2791535;
1651507942;268997;1651507942;269012;1651507942;268997;-0.2471213;
1651507942;437957;1651507942;437970;1651507942;437957;-0.2733711;
1651507942;626248;1651507942;626260;1651507942;626248;-0.1050565;
1651507942;870396;1651507942;870410;1651507942;870396;0.1323242;
1651507943;159897;1651507943;159910;1651507943;159897;0.165945;
1651507943;375164;1651507943;375177;1651507943;375164;0.2935269;
1651507943;785050;1651507943;785064;1651507943;785050;0.5277042;
1651507943;984693;1651507943;984708;1651507943;984693;0.8114049;
1651507944;185904;1651507944;185917;1651507944;185904;0.8303079;
1651507944;374067;1651507944;374080;1651507944;374067;0.8309407;
1651507944;598500;1651507944;598513;1651507944;598500;0.8118992;
1651507944;834982;1651507944;834997;1651507944;834982;0.7830597;
1651507945;266689;1651507945;266702;1651507945;266689;0.9583127;
1651507945;446681;1651507945;446694;1651507945;446681;0.9303348;
1651507945;683189;1651507945;683201;1651507945;683189;0.9816614;
1651507945;915891;1651507945;915905;1651507945;915891;0.9790725;
1651507946;155866;1651507946;155880;1651507946;155866;0.9992383;
1651507946;383149;1651507946;383163;1651507946;383149;0.9705189;
1651507946;576404;1651507946;576417;1651507946;576404;0.9569297;
1651507947;40714;1651507947;40727;1651507947;40714;0.7735369;
1651507947;259005;1651507947;259021;1651507947;259005;0.7461293;
1651507947;521763;1651507947;521774;1651507947;521763;0.2701307;
1651507947;744157;1651507947;744173;1651507947;744157;0.5311992;
1651507947;970791;1651507947;970805;1651507947;970791;0.3430282;
1651507948;166074;1651507948;166091;1651507948;166074;0.3337544;
1651507948;363178;1651507948;363193;1651507948;363178;0.7052904;
1651507948;603886;1651507948;603899;1651507948;603886;0.6843665;
1651507949;17601;1651507949;17616;1651507949;17601;0.3848895;
1651507949;267181;1651507949;267196;1651507949;267181;-0.3171996;
1651507949;509411;1651507949;509426;1651507949;509411;-0.368888;
1651507949;768224;1651507949;768237;1651507949;768224;-0.2743362;
1651507950;4259;1651507950;4273;1651507950;4259;0.2181414;
1651507950;213898;1651507950;213912;1651507950;213898;-0.4392469;
1651507950;657844;1651507950;657859;1651507950;657844;-0.2185343;
1651507950;896585;1651507950;896598;1651507950;896585;-0.5396232;
1651507951;234622;1651507951;234635;1651507951;234622;-0.5986562;
1651507951;436303;1651507951;436316;1651507951;436303;-0.5036449;
1651507951;598261;1651507951;598285;1651507951;598261;-0.3377333;
1651507951;836407;1651507951;836419;1651507951;836407;-0.2304105;
1651507952;89766;1651507952;89780;1651507952;89766;0.07358418;
