sent.seconds;sent.microseconds;received.seconds;received.microseconds;sampleTimeStamp.seconds;sampleTimeStamp.microseconds;groundSteering;
1585056052;352656;1651507897;526014;1585056052;352656;-0;
1585056052;453154;1651507897;755218;1585056052;453154;-0;
1585056052;553676;1651507897;976407;1585056052;553676;-0;
1585056052;654194;1651507898;167943;1585056052;654194;-0;
1585056052;754697;1651507898;380316;1585056052;754697;-0;
1585056052;855202;1651507898;614675;1585056052;855202;-0;
1585056052;955716;1651507898;831621;1585056052;955716;-0;
1585056053;56239;1651507899;30797;1585056053;56239;-0;
1585056053;156795;1651507899;281003;1585056053;156795;-0;
1585056053;257322;1651507899;506352;1585056053;257322;-0;
1585056053;357840;1651507899;656308;1585056053;357840;-0;
1585056053;459019;1651507899;911544;1585056053;459019;-0;
1585056053;559024;1651507900;153290;1585056053;559024;-0;
1585056053;659509;1651507900;357507;1585056053;659509;-0;
1585056053;759996;1651507900;607015;1585056053;759996;-0;
1585056053;860506;1651507900;913939;1585056053;860506;-0;
1585056053;960977;1651507901;157034;1585056053;960977;-0;
1585056054;61451;1651507901;372087;1585056054;61451;-0;
1585056054;161953;1651507901;644378;1585056054;161953;-0;
1585056054;262409;1651507901;831867;1585056054;262409;-0;
1585056054;362897;1651507902;47516;1585056054;362897;-0;
1585056054;463654;1651507902;278620;1585056054;463654;-0;
1585056054;564198;1651507902;559637;1585056054;564198;-0;
1585056054;664723;1651507902;797575;1585056054;664723;-0;
1585056054;765300;1651507903;29112;1585056054;765300;0.2189272;
1585056054;865813;1651507903;228385;1585056054;865813;0.1469487;
1585056054;966361;1651507903;448100;1585056054;966361;0.1529499;
1585056055;66897;1651507903;662730;1585056055;66897;0.290888;
1585056055;167398;1651507903;918775;1585056055;167398;0.290888;
1585056055;267928;1651507904;143491;1585056055;267928;0.290888;
1585056055;368723;1651507904;372266;1585056055;368723;0.290888;
1585056055;469377;1651507904;598753;1585056055;469377;0.290888;
1585056055;569874;1651507904;873560;1585056055;569874;0.290888;
1585056055;670399;1651507905;179051;1585056055;670399;0.290888;
1585056055;770917;1651507905;385804;1585056055;770917;0.2789034;
1585056055;871774;1651507905;620376;1585056055;871774;0.1649434;
1585056055;972560;1651507905;809779;1585056055;972560;-0;
1585056056;73066;1651507906;43433;1585056056;73066;-0;
1585056056;173552;1651507906;246869;1585056056;173552;-0;
1585056056;274086;1651507906;497026;1585056056;274086;-0;
1585056056;374601;1651507907;31793;1585056056;374601;-0;
1585056056;475536;1651507907;361127;1585056056;475536;-0;
1585056056;576165;1651507907;834231;1585056056;576165;0.2009326;
1585056056;676665;1651507908;529890;1585056056;676665;0.1559505;
1585056056;777280;1651507908;786177;1585056056;777280;-0;
1585056056;877806;1651507909;58851;1585056056;877806;-0;
1585056056;978401;1651507909;348327;1585056056;978401;-0;
1585056057;78891;1651507909;600655;1585056057;78891;-0;
1585056057;179391;1651507909;849486;1585056057;179391;-0;
1585056057;279880;1651507910;150476;1585056057;279880;-0;
1585056057;380451;1651507910;455440;1585056057;380451;-0;
1585056057;481012;1651507910;689132;1585056057;481012;-0;
1585056057;581499;1651507910;919156;1585056057;581499;-0;
1585056057;682085;1651507911;145750;1585056057;682085;-0;
1585056057;782672;1651507911;351875;1585056057;782672;-0;
1585056057;883156;1651507911;537746;1585056057;883156;-0;
1585056057;983641;1651507911;786469;1585056057;983641;-0;
1585056058;84140;1651507912;21335;1585056058;84140;-0;
1585056058;184643;1651507912;237194;1585056058;184643;-0;
1585056058;285196;1651507912;425346;1585056058;285196;-0;
1585056058;385818;1651507912;629969;1585056058;385818;-0;
1585056058;486328;1651507912;881327;1585056058;486328;-0;
1585056058;586849;1651507913;90100;1585056058;586849;-0;
1585056058;687380;1651507913;276125;1585056058;687380;-0;
1585056058;787948;1651507913;489936;1585056058;787948;-0;
1585056058;888662;1651507913;666443;1585056058;888662;-0;
1585056058;989525;1651507913;871579;1585056058;989525;0.1049672;
1585056059;90060;1651507914;74977;1585056059;90060;0.1889392;
1585056059;190894;1651507914;325023;1585056059;190894;0.1409564;
1585056059;291494;1651507914;569436;1585056059;291494;0.1409564;
1585056059;392137;1651507914;796053;1585056059;392137;0.1319547;
1585056059;492755;1651507915;51488;1585056059;492755;0.128963;
1585056059;593297;1651507915;277921;1585056059;593297;0.1079678;
1585056059;693960;1651507915;509619;1585056059;693960;0.1079678;
1585056059;794572;1651507915;743233;1585056059;794572;0.1079678;
1585056059;895086;1651507915;974916;1585056059;895086;0.1079678;
1585056059;995631;1651507916;149976;1585056059;995631;0.1079678;
1585056060;96187;1651507916;390166;1585056060;96187;0.1079678;
1585056060;196852;1651507916;586166;1585056060;196852;0.1079678;
1585056060;297504;1651507916;815918;1585056060;297504;0.1079678;
1585056060;398246;1651507917;45041;1585056060;398246;0.1079678;
1585056060;498942;1651507917;312368;1585056060;498942;0.03898985;
1585056060;599452;1651507917;614661;1585056060;599452;-0;
1585056060;699938;1651507917;832606;1585056060;699938;-0;
1585056060;800501;1651507918;89720;1585056060;800501;-0;
1585056060;901096;1651507918;318103;1585056060;901096;0.003000584;
1585056061;1659;1651507918;579715;1585056061;1659;0.1109684;
1585056061;102154;1651507918;837135;1585056061;102154;0.1319547;
1585056061;203049;1651507919;49414;1585056061;203049;0.1229618;
1585056061;303569;1651507919;253367;1585056061;303569;0.1229618;
1585056061;404075;1651507919;538850;1585056061;404075;0.1229618;
1585056061;504614;1651507919;820124;1585056061;504614;0.1229618;
1585056061;605144;1651507920;49217;1585056061;605144;0.1229618;
1585056061;705650;1651507920;267824;1585056061;705650;0.1229618;
1585056061;806133;1651507920;483438;1585056061;806133;0.1229618;
1585056061;906959;1651507920;700386;1585056061;906959;0.1259624;
1585056062;7554;1651507920;917726;1585056062;7554;0.1259624;
1585056062;108231;1651507921;140814;1585056062;108231;0.1259624;
1585056062;208826;1651507921;321981;1585056062;208826;0.1259624;
1585056062;309348;1651507921;526806;1585056062;309348;0.1259624;
1585056062;409881;1651507921;767377;1585056062;409881;0.1229618;
1585056062;510443;1651507921;982531;1585056062;510443;0.1139601;
1585056062;611351;1651507922;204464;1585056062;611351;0.08697256;
1585056062;712034;1651507922;488157;1585056062;712034;-0;
1585056062;812628;1651507922;697991;1585056062;812628;-0;
1585056062;913196;1651507922;868627;1585056062;913196;-0;
1585056063;13731;1651507923;94312;1585056063;13731;-0;
1585056063;114383;1651507923;354537;1585056063;114383;-0;
1585056063;215911;1651507923;592031;1585056063;215911;-0;
1585056063;315474;1651507923;799496;1585056063;315474;-0.1199524;
1585056063;416023;1651507924;52718;1585056063;416023;-0.09895714;
1585056063;516654;1651507924;264556;1585056063;516654;-0.08996427;
1585056063;617260;1651507924;491920;1585056063;617260;-0.08996427;
1585056063;717934;1651507924;702057;1585056063;717934;-0.08996427;
1585056063;819161;1651507924;923568;1585056063;819161;-0.08996427;
1585056063;918978;1651507925;142510;1585056063;918978;-0.08996427;
1585056064;19844;1651507925;368390;1585056064;19844;-0.08696368;
1585056064;120644;1651507925;628258;1585056064;120644;-0.03297979;
1585056064;221607;1651507925;888709;1585056064;221607;-0;
1585056064;323096;1651507926;135314;1585056064;323096;-0;
1585056064;423836;1651507926;342178;1585056064;423836;-0;
1585056064;525835;1651507926;617405;1585056064;525835;-0;
1585056064;624524;1651507926;865209;1585056064;624524;-0;
1585056064;725027;1651507927;93287;1585056064;725027;-0;
1585056064;825854;1651507927;315260;1585056064;825854;-0;
1585056064;926780;1651507927;589202;1585056064;926780;-0;
1585056065;27244;1651507927;890339;1585056065;27244;-0;
1585056065;127979;1651507928;210593;1585056065;127979;-0;
1585056065;228989;1651507928;477749;1585056065;228989;-0;
1585056065;329823;1651507928;706312;1585056065;329823;-0;
1585056065;430753;1651507928;946626;1585056065;430753;-0;
1585056065;531895;1651507929;215595;1585056065;531895;-0;
1585056065;632497;1651507929;425919;1585056065;632497;-0;
1585056065;733403;1651507929;595825;1585056065;733403;-0;
1585056065;834031;1651507929;805935;1585056065;834031;-0;
